Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence,,,,,
132,,486,488,608,The minion reaches to Gru's pocket.,Shot 115,,Indoor,"Gru, Minion",Minion,,Lab,Medium,,Yes,3,+,,,,,
133,,488,489,610,The smaller minion on the hand puts the ticket in Gru's pocket.,Shot 116,,Indoor,"Gru, Minion",Minion,,Lab,Close Up,Swan Lake,Yes,4,+,,,,,
134,,489,493,611,The platform reaches the top. Gru pushes a button and a path is extended to the spaceship.,Shot 117,21. Gru gets in the spaceship and makes final preparations for the launch.,Indoor,"Gru, Minion",Gru,,Lab,Long,,Yes,3,+,,,,,
135,,493,499,616,Gru gets into the spaceship in the chair.,Shot 118,,Indoor,Gru,Gru,,Lab,Medium,,Yes,3,+,,,,,
136,,499,500,624,Close up of Gru putting on seatbelts.,Shot 119,,Indoor,Gru,Gru,,Lab,Close Up,,Yes,3,+,,,,,
137,,500,501,625,The spaceship closes.,Shot 120,,Indoor,"Gru, Minion",,,Lab,Long,,Yes,3,+,,,,,
138,,501,503,626,A minion cleans the windshield of the spaceship.,Shot 121,,Indoor,Minion,Minion,,Lab,Medium,,Yes,3,+,,,,,
139,,503,506,629,The inside of the spaceship. A screen turns on and shows Dr. Nefario,Shot 122,,Indoor,"Gru, Dr. Nefario","Gru, Dr. Nefario",,Lab,"Over the Shoulder, Medium",,Yes,2,+,,,,,
140,,506,510,633,"Dr. Nefario on the screen says: ""Opening launch pad doors.""",Shot 123,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Lab,Medium,Connection...,Yes,3,+,,,,,
141,,510,513,638,"Close up on Gru's face. The doors opening is reflected on his helmet. Dr. Nefario says: ""Commencing launch sequence. And we are good to go.""",Shot 124,,Indoor,Gru,Gru,Dr. Nefario,Lab,Close Up,,Yes,4,+,,,,,
142,,513,514,641,The doors in front of the spaceship opens.,Shot 125,,Indoor,Gru,,,Lab,Long,,Yes,4,+,,,,,
143,,514,516,643,"Minions walk across the floor beneath the spaceship. Dr. Nefario's voice: ""T minus Ten seconds""",Shot 126,,Indoor,Minions,Minions,Dr. Nefario,Lab,Long,,Yes,3,+,,,,,
144,,516,517,645,Minions walk away from the spaceship through the corridor.,Shot 127,,Indoor,Minions,Minions,,Lab,Medium,,Yes,2,+,,,,,
145,,517,522,646,"View point slowly rotates around the spaceship as Dr. Nefario counts down: ""Ten, nine, eight, seven""",Shot 128,,Indoor,,,Dr. Nefario,Lab,Long,,Yes,4,+,,,,,
146,,522,524,653,"Medium shot of Dr. Nefario in the control center with a mic on his ear, continuing to count down: ""Six"" Minions work in the background.",Shot 129,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Lab,Medium,,Yes,3,+,,,,,
147,Launch Spaceship,524,531,655,Man's face reflected on car as he cleans it. He hears rumbling sound and the car vibrates. Camera tilt up to show his face as he looks around with wide eyes.,Shot 130,"22. The spaceship launches, and a neighbor on the street notices.",Outdoor,Neighbor,Neighbor,,Street,"Medium, Tilt",,No,3,+,,,,,
148,,531,533,664,Rumbling continues as shadow of spaceship appears. Man turns around to see the spaceship.,Shot 131,,Outdoor,Neighbor,Neighbor,,Street,Extreme Long,,No,4,+,,,,,
149,,533,536,666,Over-the-shoulder shot on spaceship appearing from behind a house.,Shot 132,,Outdoor,Neighbor,,,Street,"Over the Shoulder, Long",,No,4,+,,,,,
150,,536,538,670,Man stand in shadow with mouth wide open. Vector walks in near him.,Shot 133,,Outdoor,"Neighbor, Vector",Vector,,Street,Long,,Yes,3,+,,,,,
151,Vector Interrupts,538,539,673,Vector stands next to the man.,Shot 134,23. Vector tries to interrupt Gru by following him into outerspace.,Outdoor,"Neighbor, Vector",Vector,,Street,Medium,,Yes,3,+,,,,,
152,,539,542,674,Vector holds up his gun and shoots out a squid tied to a rope towards the spaceship. The man looks at him,Shot 135,,Outdoor,"Neighbor, Vector",Vector,,Street,Long,,Yes,4,+,,,,,
153,,542,544,678,The squid flies up to the spaceship and attaches to it.,Shot 136,,Outdoor,,,,Street,Close Up,,Yes,4,+,,,,,
154,,544,545,680,The spaceship flies up into the sky.,Shot 137,,Outdoor,,,,Street,Extreme Long,,Yes,5,+,,,,,
155,,545,547,681,The spaceship flies further away from the ground.,Shot 138,,Outdoor,,,,Street,Extreme Long,,Yes,5,+,,,,,
156,,547,549,684,"Vector hands his gun to the man. As he assumes a pose pointing to the sky, the rope attached to his body shortens and he flies up into the sky.",Shot 139,,Outdoor,"Neighbor, Vector","Neighbor, Vector",,Street,Long,,Yes,5,+,,,,,
157,,549,551,686,"Vector flies up the sky through the stream of smoke yelling: ""Oh yeah!""",Shot 140,,Outdoor,Vector,Vector,Vector,Street,Long,,Yes,5,+,,,,,
158,,551,552,689,Vector holds onto the squid attached to the flying spaceship.,Shot 141,,Outdoor,Vector,Vector,,Street,Long,,Yes,4,+,,,,,
159,,552,556,690,"Gru sits in the spaceship and says: ""Nice work Doctor. All systems go""",Shot 142,,Outdoor,Gru,Gru,Gru,Street,Medium,,Yes,3,+,,,,,
160,,556,557,695,"Vector jumps onto the front window of the spaceship holding a fish-shaped gun and yelling: ""Booyah!"" Gru shrinks away.",Shot 143,,Outdoor,"Gru, Vector",Vector,Vector,Street,"Over the Shoulder, Medium",,Yes,4,-,,,,,
161,,557,558,696,Close up on Gru's face. He looks surprised then determined.,Shot 144,24. Gru gets rid of Vector by electrocuting him.,Outdoor,Gru,Gru,,Street,Close Up,,Yes,4,-,,,,,
162,,558,559,698,Gru turns a button that electrocutes Vector.,Shot 145,,Outdoor,"Gru, Vector",Vector,,Street,Medium,,Yes,5,+,,,,,
163,,559,564,699,Vector is electrocuted and falls from the spaceship with his gun. He screams.,Shot 146,25. Vector falls through the sky but is saved by his suit.,Outdoor,Vector,Vector,,Street,Long,,Yes,5,+,,,,,
164,,564,566,705,Wide shot of Vector falling through the sky.,Shot 147,,Outdoor,Vector,Vector,,Street,Extreme Long,,Yes,4,-,,,,,
165,,566,571,708,"Vector falls through the sky, shuddering and squirming. He says ""My flightsuit."" and pulls his clothes to open up special gliding structures on his suit.",Shot 148,,Outdoor,Vector,Vector,Vector,Street,Long,,Yes,5,-,,,,,
166,,571,575,714,"Vector glides down and shouts ""Oh yeah! Once again the mighty..."" He crashes in to a metal structure, bending it.",Shot 149,,Outdoor,Vector,Vector,Vector,Street,Long,,Yes,5,+,,,,,
167,,575,578,719,Wide shot of Vector crashed into an electric tower. He is electrocuted again and falls screaming.,Shot 150,,Outdoor,Vector,Vector,,Street,Extreme Long,,No,4,-,,,,,
168,Gru in Space,578,579,723,Inside of Gru's spaceship. The spaceship shakes a lot and he screams.,Shot 151,26. Gru arrives in outerspace.,Outdoor,Gru,,,Outerspace,Medium,,Yes,5,+,,,,,
169,,579,580,724,Close up of his grimacing face as he screams.,Shot 152,,Outdoor,Gru,Gru,,Outerspace,Close Up,,Yes,5,+,,,,,
170,,580,583,725,A minion and a flask is floating around in space with the Earth in the background. The spaceship gets closer and closer with a roar. He ,Shot 153,,Outdoor,Minion,Minion,,Outerspace,Extreme Long,,No,4,+,,,,,
171,,583,586,729,"The minion notices the spaceship, grabs the flask, and tries to wade away from the spaceship. The spaceship barely misses him as it flies by with a storm of fire and smoke.",,,Outdoor,Minion,Minion,,Outerspace,Extreme Long,,No,5,+,,,,,
172,,586,589,733,The spaceship flies away with a trail of smoke., ,,Outdoor,,,,Outerspace,Extreme Long,,No,5,+,,,,,
173,,589,590,736,Inside of the spaceship. Everything is still rattling.,Shot 154,,Outdoor,Gru,,,Outerspace,Medium,,Yes,4,+,,,,,
174,,590,594,738,The spaceship slows down in the middle of space and fire stops coming out of it.,Shot 155,,Outdoor,,,,Outerspace,Extreme Long,,Yes,3,+,,,,,
175,,594,596,743,Close up of Gru's face. He presses a button.,Shot 156,,Outdoor,Gru,Gru,,Outerspace,Close Up,,Yes,3,+,,,,,
176,,596,600,745,The spaceship detaches and moves on forward.,Shot 157,,Outdoor,,,,Outerspace,Extreme Long,,Yes,3,+,,,,,
